url,born,height,weight,games,debut,last
https://afltables.com/afl/stats/players/B/Bill_Ahern1.html,1865-03-02,170,64,1,1897-05-08,1897-05-08
https://afltables.com/afl/stats/players/C/Charlie_Ahern.html,1905-06-25,180,79,3,1929-06-29,1929-09-28
https://afltables.com/afl/stats/players/J/John_Ahern.html,1970-09-10,189,82,2,1989-04-01,1989-04-08
https://afltables.com/afl/stats/players/P/Paul_Ahern.html,1996-08-01,183,85,17,2018-06-03,2019-08-02
https://afltables.com/afl/stats/players/M/Matthew_AhMat.html,1974-06-27,175,75,8,1991-08-10,1994-04-10
https://afltables.com/afl/stats/players/R/Robert_AhMat.html,1977-07-19,175,80,67,1995-07-16,2001-05-13
https://afltables.com/afl/stats/players/B/Brodie_Ainslie.html,1891-08-10,179,0,1,1911-08-19,1911-08-19
https://afltables.com/afl/stats/players/B/Ben_Ainsworth.html,1998-02-10,178,77,38,2017-03-25,2019-08-04
https://afltables.com/afl/stats/players/B/Brayden_Ainsworth.html,1998-11-27,184,80,3,2018-05-12,2018-07-08
https://afltables.com/afl/stats/players/G/Geoff_Ainsworth.html,1946-05-27,178,79,135,1967-04-15,1974-06-29
https://afltables.com/afl/stats/players/J/James_Aish.html,1995-11-08,183,80,81,2014-03-22,2019-07-20
https://afltables.com/afl/stats/players/E/Ern_Aitchison.html,1905-06-10,184,78,2,1931-08-08,1931-08-22
https://afltables.com/afl/stats/players/J/Jack_Aitchison.html,1911-04-06,173,68,1,1935-08-10,1935-08-10
https://afltables.com/afl/stats/players/C/Chris_Aitken.html,1948-10-26,187,83,14,1967-04-15,1977-05-07
https://afltables.com/afl/stats/players/I/Ian_Aitken.html,1967-05-16,192,91,66,1987-04-04,1993-08-28
https://afltables.com/afl/stats/players/J/James_Aitken.html,1882-07-23,171,70,1,1903-06-13,1903-06-13
https://afltables.com/afl/stats/players/J/Jimmy_Aitken.html,1872-05-15,NA,NA,19,1897-05-08,1898-07-16
https://afltables.com/afl/stats/players/K/Ken_Aitken.html,1928-06-25,183,83,31,1948-09-04,1952-09-27
