Game,Season,Date,Round,Round.Number,Home.Points,Away.Points,HA.Name,Team,ByeRound,Margin,Result,Venue,Odds,Favourite,Opponent
14679,2015,2015-06-20,R12,12,110,106,Home.Team,Carlton,R11,4,W,MCG,3.21,N,Port Adelaide
14681,2015,2015-06-20,R12,12,146,74,Home.Team,Western Bulldogs,R11,72,W,Marvel Stadium,1.29,Y,Brisbane Lions
14681,2015,2015-06-20,R12,12,146,74,Away.Team,Brisbane Lions,R11,-72,L,Marvel Stadium,3.68,N,Western Bulldogs
14683,2015,2015-06-25,R13,13,80,73,Home.Team,Fremantle,R12,7,W,Domain Stadium,1.33,Y,Collingwood
14683,2015,2015-06-25,R13,13,80,73,Away.Team,Collingwood,R12,-7,L,Domain Stadium,3.34,N,Fremantle
14684,2015,2015-06-26,R13,13,77,95,Home.Team,Sydney,R12,-18,L,SCG,1.34,Y,Richmond
14685,2015,2015-06-27,R13,13,114,76,Away.Team,Essendon,R12,-38,L,MCG,9.26,N,Hawthorn
14687,2015,2015-06-27,R13,13,56,62,Home.Team,St Kilda,R12,-6,L,Marvel Stadium,2.55,N,Western Bulldogs
14688,2015,2015-06-28,R13,13,103,69,Away.Team,Gold Coast,R12,-34,L,Marvel Stadium,2.88,N,Carlton
14689,2015,2015-07-02,R14,14,94,84,Away.Team,Port Adelaide,R13,-10,L,SCG,2.76,N,Sydney
14691,2015,2015-07-04,R14,14,78,69,Away.Team,GWS,R13,-9,L,MCG,4.87,N,Richmond
14692,2015,2015-07-04,R14,14,125,70,Away.Team,North Melbourne,R13,-55,L,Metricon Stadium,1.27,Y,Gold Coast
14694,2015,2015-07-04,R14,14,60,114,Home.Team,Melbourne,R13,-54,L,TIO Stadium,4.53,N,West Coast
14694,2015,2015-07-04,R14,14,60,114,Away.Team,West Coast,R13,54,W,TIO Stadium,1.2,Y,Melbourne
14701,2015,2015-07-11,R15,15,120,79,Away.Team,Geelong,R13,-41,L,Marvel Stadium,1.79,Y,North Melbourne
14901,2016,2016-06-23,R14,14,100,67,Home.Team,Adelaide,R13,33,W,Adelaide Oval,1.27,Y,North Melbourne
14902,2016,2016-06-24,R14,14,85,37,Home.Team,Collingwood,R13,48,W,MCG,1.83,Y,Fremantle
14903,2016,2016-06-25,R14,14,117,75,Home.Team,Richmond,R13,42,W,MCG,1.06,Y,Brisbane Lions
14904,2016,2016-06-25,R14,14,127,65,Away.Team,Carlton,R13,-62,L,Giants Stadium,9.21,N,GWS
14905,2016,2016-06-25,R14,14,93,90,Home.Team,St Kilda,R13,3,W,Marvel Stadium,5.3,N,Geelong
14906,2016,2016-06-26,R14,14,86,60,Away.Team,Gold Coast,R13,-26,L,UTAS Stadium,9.61,N,Hawthorn
14907,2016,2016-06-30,R15,15,130,52,Home.Team,West Coast,R14,78,W,Domain Stadium,1.01,Y,Essendon
14907,2016,2016-06-30,R15,15,130,52,Away.Team,Essendon,R14,-78,L,Domain Stadium,15.93,N,West Coast
14908,2016,2016-07-01,R15,15,94,56,Home.Team,Port Adelaide,R14,38,W,Adelaide Oval,1.35,Y,Richmond
14910,2016,2016-07-02,R15,15,79,83,Home.Team,Sydney,R14,-4,L,SCG,1.39,Y,Western Bulldogs
14910,2016,2016-07-02,R15,15,79,83,Away.Team,Western Bulldogs,R14,4,W,SCG,2.99,N,Sydney
14912,2016,2016-07-03,R15,15,98,120,Home.Team,Melbourne,R14,-22,L,MCG,3.59,N,Adelaide
14913,2016,2016-07-07,R16,16,79,101,Away.Team,Hawthorn,R15,22,W,Adelaide Oval,1.69,Y,Port Adelaide
14914,2016,2016-07-08,R16,16,60,98,Home.Team,Geelong,R15,-38,L,GMHBA Stadium,1.37,Y,Sydney
14915,2016,2016-07-09,R16,16,93,125,Home.Team,GWS,R15,-32,L,Giants Stadium,1.1,Y,Collingwood
14916,2016,2016-07-09,R16,16,139,113,Away.Team,Brisbane Lions,R15,-26,L,Metricon Stadium,4.73,N,Gold Coast
14918,2016,2016-07-09,R16,16,87,55,Away.Team,Fremantle,R15,-32,L,TIO Stadium,2.53,N,Melbourne
14920,2016,2016-07-10,R16,16,104,72,Away.Team,North Melbourne,R15,-32,L,Domain Stadium,3.27,N,West Coast
15074,2017,2017-05-25,R10,10,81,79,Away.Team,Port Adelaide,R9,-2,L,GMHBA Stadium,2.18,N,Geelong
15077,2017,2017-05-27,R10,10,122,87,Away.Team,Gold Coast,R9,-35,L,Traeger Park,3.1,N,Melbourne
15089,2017,2017-06-08,R12,12,88,42,Home.Team,Sydney,R11,46,W,SCG,1.74,Y,Western Bulldogs
15089,2017,2017-06-08,R12,12,88,42,Away.Team,Western Bulldogs,R11,-46,L,SCG,2.07,N,Sydney
15090,2017,2017-06-09,R12,12,111,54,Away.Team,St Kilda,R11,-57,L,Adelaide Oval,5.65,N,Adelaide
15092,2017,2017-06-10,R12,12,121,64,Home.Team,Brisbane Lions,R11,57,W,Gabba,2.31,N,Fremantle
15094,2017,2017-06-11,R12,12,71,70,Home.Team,Carlton,R11,1,W,Marvel Stadium,4.15,N,GWS
15095,2017,2017-06-12,R12,12,104,100,Home.Team,Melbourne,R11,4,W,MCG,1.57,Y,Collingwood
15096,2017,2017-06-15,R13,13,83,70,Home.Team,West Coast,R12,13,W,Domain Stadium,2.2,N,Geelong
15096,2017,2017-06-15,R13,13,83,70,Away.Team,Geelong,R12,-13,L,Domain Stadium,1.67,Y,West Coast
15097,2017,2017-06-16,R13,13,72,89,Home.Team,North Melbourne,R12,-17,L,Marvel Stadium,1.99,N,St Kilda
15098,2017,2017-06-17,R13,13,71,80,Home.Team,Richmond,R12,-9,L,MCG,1.95,N,Sydney
15102,2017,2017-06-22,R14,14,82,96,Home.Team,Adelaide,R13,-14,L,Adelaide Oval,1.08,Y,Hawthorn
15102,2017,2017-06-22,R14,14,82,96,Away.Team,Hawthorn,R13,14,W,Adelaide Oval,7.48,N,Adelaide
15103,2017,2017-06-23,R14,14,86,85,Away.Team,Essendon,R13,-1,L,SCG,3.07,N,Sydney
15104,2017,2017-06-24,R14,14,62,93,Home.Team,Collingwood,R13,-31,L,MCG,1.95,N,Port Adelaide
15105,2017,2017-06-24,R14,14,86,146,Away.Team,GWS,R13,60,W,Gabba,1.23,Y,Brisbane Lions
15108,2017,2017-06-25,R14,14,74,72,Away.Team,Fremantle,R13,-2,L,GMHBA Stadium,10.14,N,Geelong
15292,2018,2018-06-02,R11,11,64,61,Away.Team,Port Adelaide,R10,-3,L,UTAS Stadium,1.81,Y,Hawthorn
15293,2018,2018-06-02,R11,11,36,121,Home.Team,Gold Coast,R10,-85,L,Metricon Stadium,3.38,N,Geelong
15306,2018,2018-06-14,R13,13,132,75,Away.Team,Western Bulldogs,R12,-57,L,Adelaide Oval,6.94,N,Port Adelaide
15307,2018,2018-06-15,R13,13,72,57,Away.Team,West Coast,R12,-15,L,SCG,2.63,N,Sydney
15308,2018,2018-06-16,R13,13,46,103,Home.Team,Carlton,R12,-57,L,Marvel Stadium,2.09,N,Fremantle
15310,2018,2018-06-16,R13,13,88,32,Home.Team,Hawthorn,R12,56,W,MCG,1.41,Y,Adelaide
15312,2018,2018-06-21,R14,14,52,80,Away.Team,Essendon,R13,28,W,Optus Stadium,3.41,N,West Coast
15313,2018,2018-06-22,R14,14,75,65,Away.Team,Melbourne,R13,-10,L,Adelaide Oval,2.22,N,Port Adelaide
15315,2018,2018-06-23,R14,14,82,109,Home.Team,Brisbane Lions,R13,-27,L,Gabba,3.46,N,GWS
