"Concussion","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","Avg 2004-13"
"Incidence","0.3","0.7","0.3","0.3","0.4","0.5","0.5","1.1","1.0","1.0","0.5"
"Prevalence","0.3","0.9","0.3","0.3","0.5","0.7","0.8","2.2","1.6","1.3","0.9"
